72, 34
74, 50
74, 62
82, 53
75, 44
82, 49
75, 52
78, 53
73, 61
87, 49
81, 58
85, 53
90, 43
90, 56
84, 58
86, 58
86, 52
87, 63
84, 64
82, 58
88, 57
85, 66
92, 64
90, 67
92, 63
89, 60
89, 75
84, 69
91, 76
86, 67
87, 69
84, 69
88, 70
84, 67
94, 71
87, 79
95, 77
79, 77
86, 73
89, 77
87, 81
85, 79
85, 80
92, 72
95, 85
94, 72
94, 82
93, 83
89, 82
94, 80
93, 83
93, 78
95, 85
92, 82
92, 86
93, 84
93, 76
91, 80
89, 75
94, 85
96, 86
93, 80
96, 90
97, 79
93, 80
95, 82
94, 77
92, 80
98, 83
94, 84
94, 85
94, 79
93, 84
94, 86
94, 85
98, 86
94, 88
94, 88
95, 87
98, 79
91, 84
93, 75
93, 76
97, 82
91, 90
97, 85
96, 81
92, 83
98, 86
92, 85
96, 77
86, 83
91, 87
93, 88
94, 81
84, 89
93, 84
97, 81
87, 85
96, 83
98, 77
92, 78
90, 80
93, 87
93, 81
92, 82
92, 80
90, 84
96, 87
92, 80
90, 83
93, 85
94, 77
95, 88
96, 77
96, 90
97, 80
98, 80
85, 83
96, 89
97, 80
98, 85
97, 78
93, 84
95, 81
95, 87
94, 85
89, 87
98, 79
96, 86
96, 89
94, 89
93, 80
94, 82
96, 79
94, 85
94, 88
92, 89
96, 81
96, 83
93, 84
93, 92
97, 86
92, 89
96, 87
95, 86
97, 87
97, 86
95, 86
93, 83
98, 82
95, 85
91, 84
96, 84
97, 81
88, 84
93, 78
94, 87
97, 83
94, 87
95, 90
93, 78
96, 87
95, 83
99, 87
94, 84
95, 83
97, 87
100, 86
95, 85
98, 79
90, 86
93, 84
98, 83
97, 83
98, 86
98, 88
95, 85
97, 82
96, 85
98, 82
97, 83
97, 81
98, 80
97, 84
97, 92
92, 86
100, 89
93, 87
93, 84
94, 86
96, 82
96, 82
99, 92
97, 86
97, 84
96, 79
95, 81
96, 81
96, 85
97, 86
98, 84
95, 85
100, 87
99, 80
99, 90
98, 85
95, 80
95, 80
100, 86
98, 84
97, 83
99, 88
100, 87
98, 79
96, 85
98, 84
99, 86
99, 87
99, 85
99, 85
97, 89
99, 89
95, 86
100, 87
98, 85
95, 89
99, 88
98, 84
96, 80
99, 79
99, 80
99, 89
99, 85
98, 87
100, 89
98, 86
98, 86
99, 83
99, 84
97, 78
98, 78
100, 83
99, 87
98, 85
98, 83
99, 93
99, 81
96, 85
99, 86
98, 87
97, 89
99, 83
100, 86
97, 85
99, 78
98, 81
100, 85
99, 85
96, 87
96, 85
100, 89
98, 86
98, 90
98, 82
97, 89
100, 84
96, 83
99, 85
99, 83
96, 87
99, 86
98, 91
99, 82
100, 83
99, 85
96, 90
95, 84
100, 90
97, 81
98, 86
100, 87
97, 86
99, 86
98, 85
98, 84
100, 81
100, 82
98, 86
99, 82
100, 87
97, 86
99, 87
97, 86
98, 80
98, 83
97, 86
100, 82
97, 84
98, 85
98, 85
100, 90
100, 84
100, 85
99, 87
99, 84
98, 91
96, 83
98, 88
97, 91
98, 85
99, 82
99, 89
97, 85
100, 84
99, 92
98, 88
100, 87
99, 91
98, 80
99, 89
99, 80
99, 86
98, 82
99, 88
99, 82
98, 77
98, 79
99, 80
98, 85
97, 85
100, 84
99, 88
99, 90
98, 80
100, 85
96, 81
99, 86
98, 82
98, 90
99, 81
98, 85
99, 79
97, 84
100, 78
98, 82
100, 87
96, 80
99, 85
99, 82
99, 91
95, 85
100, 90
100, 73
99, 84
95, 85
98, 88
98, 83
99, 84
97, 82
97, 83
98, 88
100, 91
97, 85
98, 83
100, 83
97, 88
98, 89
100, 83
100, 86
98, 79
98, 86
98, 86
99, 80
98, 77
97, 91
98, 84
97, 85
99, 86
99, 82
96, 83
100, 81
97, 83
96, 89
97, 86
98, 83
99, 88
98, 84
100, 85
96, 88
99, 85
